rank,tier,gutenberg,title,author,year,form,text_source,downloads_30d,sitelinks,wikipedia,genre,status,slug
49,S,164,Twenty Thousand Leagues Under the Sea,Jules Verne,1870,novel,gutenberg,15599,,no,,have,b36
50,S,289,The Wind in the Willows,Kenneth Grahame,1908,novel,gutenberg,9111,,no,,have,b39
51,S,55,The Wonderful Wizard of Oz,L. Frank Baum,1900,novel,gutenberg,33071,,no,,have,b21
52,S,45,Anne of Green Gables,L. M. Montgomery,1908,novel,gutenberg,27049,,no,,have,b22
53,S,1399,Anna Karenina,Leo Tolstoy,1877,novel,gutenberg,19677,,no,,have,b32
54,S,2600,War and Peace,Leo Tolstoy,1869,novel,gutenberg,,,,,,
55,S,11,Alice's Adventures in Wonderland,Lewis Carroll,1865,novel,gutenberg,104420,,no,,have,b06
56,S,12,Through the Looking-Glass,Lewis Carroll,1871,novel,gutenberg,13061,61,yes,fantasy,have,b37
57,S,514,Little Women,Louisa May Alcott,1868,novel,gutenberg,17140,52,yes,autobiography;Bildungsroman;family saga;realist novel;developmental novel,have,b38
58,S,76,Adventures of Huckleberry Finn,Mark Twain,1884,novel,gutenberg,31276,,no,,have,b12
59,S,74,The Adventures of Tom Sawyer,Mark Twain,1876,novel,gutenberg,33203,76,yes,Bildungsroman;adventure fiction,have,b13
60,S,84,Frankenstein,Mary Shelley,1818,novel,gutenberg,99964,,no,,have,b02
61,S,996,Don Quixote,Miguel de Cervantes,1605,novel,gutenberg,15451,,no,,have,b43
62,S,33,The Scarlet Letter,Nathaniel Hawthorne,1850,novel,gutenberg,4480,45,yes,historical fiction;romantic fiction,have,b25
63,S,844,The Importance of Being Earnest,Oscar Wilde,1895,play,gutenberg,25392,,no,,have,b47
64,S,174,The Picture of Dorian Gray,Oscar Wilde,1890,novel,gutenberg,43384,,no,,have,b11
65,S,43,Dr Jekyll and Mr Hyde,Robert Louis Stevenson,1886,novella,gutenberg,90059,60,yes,science fiction;sensation fiction;crime fiction;horror fiction;Gothic fiction,have,b15
66,S,120,Treasure Island,Robert Louis Stevenson,1883,novel,gutenberg,26070,85,yes,coming-of-age fiction;nautical fiction;adventure fiction;pirate fiction,have,b16
67,S,236,The Jungle Book,Rudyard Kipling,1894,short story collection,gutenberg,15872,69,yes,didactic literature,have,b40
68,S,135,Les Misérables,Victor Hugo,1862,novel,gutenberg,19395,97,yes,tragedy;historical fiction,have,b34
69,S,2610,The Hunchback of Notre-Dame,Victor Hugo,1831,novel,gutenberg,21845,76,yes,Romanticism;historical fiction;Gothic fiction,new,g2610
70,S,,Mrs Dalloway,Virginia Woolf,1925,novel,us_pd,,,,,,
71,S,,To the Lighthouse,Virginia Woolf,1927,novel,us_pd,,,,,,
72,S,19942,Candide,Voltaire,1759,novella,gutenberg,11022,65,yes,Bildungsroman,new,g19942
73,S,2267,A Midsummer Night's Dream,William Shakespeare,1595,play,gutenberg,,,,,,
74,S,1524,Hamlet,William Shakespeare,1603,play,gutenberg,8382,,no,,have,b44
75,S,1121,Julius Caesar,William Shakespeare,1599,play,gutenberg,,,,,,
76,S,1532,King Lear,William Shakespeare,1606,play,gutenberg,,,,,,
77,S,1533,Macbeth,William Shakespeare,1606,play,gutenberg,7903,,no,,have,b46
78,S,1531,Othello,William Shakespeare,1603,play,gutenberg,,,,,,
79,S,1513,Romeo and Juliet,William Shakespeare,1597,play,gutenberg,95206,,no,,have,b45
80,S,23042,The Tempest,William Shakespeare,1611,play,gutenberg,,,,,,
81,A,73011,The House at Pooh Corner,A. A. Milne,1928,children's book,gutenberg,,,,,,
82,A,,The Murder at the Vicarage,Agatha Christie,1930,novel,us_pd,,,,,,
83,A,1155,The Secret Adversary,Agatha Christie,1922,novel,gutenberg,48788,27,yes,detective fiction,have,g1155
84,A,375,An Occurrence at Owl Creek Bridge,Ambrose Bierce,1890,short story,gutenberg,5510,14,yes,horror fiction,new,g375
85,A,972,The Devil's Dictionary,Ambrose Bierce,1911,nonfiction,gutenberg,,,,,,
86,A,271,Black Beauty,Anna Sewell,1877,novel,gutenberg,23114,36,yes,young adult fiction,new,g271
87,A,969,The Tenant of Wildfell Hall,Anne Brontë,1848,novel,gutenberg,3377,47,yes,epistolary fiction,new,g969
88,A,16328,Beowulf,Anonymous,,epic,gutenberg,,,,,,
89,A,95,The Prisoner of Zenda,Anthony Hope,1894,novel,gutenberg,2255,28,yes,cloak and dagger novel;romantic fiction;adventure fiction,have,g95
90,A,139,The Lost World,Arthur Conan Doyle,1912,novel,gutenberg,9539,33,yes,fiction;science fiction;lost world fiction;adventure fiction,have,g139
91,A,834,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,1894,short story collection,gutenberg,51694,,no,,have,g834
92,A,108,The Return of Sherlock Holmes,Arthur Conan Doyle,1905,short story collection,gutenberg,52211,37,yes,detective fiction,have,g108
93,A,2097,The Sign of the Four,Arthur Conan Doyle,1890,novel,gutenberg,52332,47,yes,detective fiction;crime fiction,have,g2097
94,A,60,The Scarlet Pimpernel,Baroness Orczy,1905,novel,gutenberg,5053,31,yes,cloak and dagger novel,have,g60
95,A,148,The Autobiography of Benjamin Franklin,Benjamin Franklin,1791,nonfiction,gutenberg,,,,,,
96,A,,The Secret of the Old Clock,Carolyn Keene,1930,novel,us_pd,,,,,,
97,A,1023,Bleak House,Charles Dickens,1853,novel,gutenberg,17475,38,yes,detective fiction,new,g1023
98,A,967,Nicholas Nickleby,Charles Dickens,1839,novel,gutenberg,20227,31,yes,social criticism,new,g967
99,A,580,The Pickwick Papers,Charles Dickens,1836,novel,gutenberg,21049,40,yes,picaresque novel;satire,new,g580
100,A,1952,The Yellow Wallpaper,Charlotte Perkins Gilman,1892,short story,gutenberg,29497,,no,,have,g1952
101,A,73144,Lady Chatterley's Lover,D. H. Lawrence,1928,novel,gutenberg,4026,46,yes,erotic literature;erotic romance novel,new,g73144
102,A,8800,The Divine Comedy,Dante Alighieri,1320,poem,gutenberg,,,,,,
103,A,,Red Harvest,Dashiell Hammett,1929,novel,us_pd,,,,,,
104,A,,Strong Poison,Dorothy L. Sayers,1930,novel,us_pd,,,,,,
105,A,58820,Whose Body?,Dorothy L. Sayers,1923,novel,gutenberg,45718,7,yes,detective fiction;crime literature,new,g58820
