rank,tier,gutenberg,title,author,year,form,text_source,downloads_30d,sitelinks,wikipedia,genre,status,slug
258,B,9830,The Beautiful and Damned,F. Scott Fitzgerald,1922,novel,gutenberg,,,,,,
259,B,805,This Side of Paradise,F. Scott Fitzgerald,1920,novel,gutenberg,3638,19,yes,,new,g805
260,B,6053,Evelina,Frances Burney,1778,novel,gutenberg,,,,,,
261,B,479,Little Lord Fauntleroy,Frances Hodgson Burnett,1886,novel,gutenberg,,,,,,
262,B,165,McTeague,Frank Norris,1899,novel,gutenberg,,,,,,
263,B,268,The Octopus,Frank Norris,1901,novel,gutenberg,,,,,,
264,B,,The Tower Treasure,Franklin W. Dixon,1927,novel,us_pd,,,,,,
265,B,8117,Demons,Fyodor Dostoevsky,1872,novel,gutenberg,,,,,,
266,B,2302,Poor Folk,Fyodor Dostoevsky,1846,novel,gutenberg,2426,47,yes,,new,g2302
267,B,2197,The Gambler,Fyodor Dostoevsky,1867,novel,gutenberg,,,,,,
268,B,37536,The House of the Dead,Fyodor Dostoevsky,1862,novel,gutenberg,,,,,,
269,B,223,The Wisdom of Father Brown,G. K. Chesterton,1914,short story collection,gutenberg,50651,,no,,have,g223
270,B,1685,The Mystery of the Yellow Room,Gaston Leroux,1907,novel,gutenberg,,,,,,
271,B,39858,Trilby,George du Maurier,1894,novel,gutenberg,1263,7,yes,Gothic fiction,have,g39858
272,B,7469,Daniel Deronda,George Eliot,1876,novel,gutenberg,,,,,,
273,B,24020,Romola,George Eliot,1863,novel,gutenberg,,,,,,
274,B,708,The Princess and the Goblin,George MacDonald,1872,novel,gutenberg,,,,,,
275,B,38703,The Black Moth,Georgette Heyer,1921,novel,gutenberg,17597,4,yes,historical fiction;romantic fiction,new,g38703
276,B,1290,Salammbô,Gustave Flaubert,1862,novel,gutenberg,,,,,,
277,B,393,The Blue Lagoon,H. De Vere Stacpoole,1908,novel,gutenberg,49758,10,yes,romance,have,g393
278,B,780,The War in the Air,H. G. Wells,1908,novel,gutenberg,,,,,,
279,B,718,Tono-Bungay,H. G. Wells,1909,novel,gutenberg,,,,,,
280,B,50133,The Dunwich Horror,H. P. Lovecraft,1929,short story,gutenberg,,,,,,
281,B,3155,She,H. Rider Haggard,1887,novel,gutenberg,2317,28,yes,fantasy;lost world fiction;Gothic fiction;adventure fiction,new,g3155
282,B,208,Daisy Miller,Henry James,1879,novella,gutenberg,3066,20,yes,,new,g208
283,B,176,Roderick Hudson,Henry James,1875,novel,gutenberg,,,,,,
284,B,432,The Ambassadors,Henry James,1903,novel,gutenberg,,,,,,
285,B,211,The Aspern Papers,Henry James,1888,novella,gutenberg,,,,,,
286,B,1093,The Beast in the Jungle,Henry James,1903,novella,gutenberg,,,,,,
287,B,7118,What Maisie Knew,Henry James,1897,novel,gutenberg,,,,,,
288,B,2853,Quo Vadis,Henryk Sienkiewicz,1896,novel,gutenberg,,,,,,
289,B,8118,Redburn,Herman Melville,1849,novel,gutenberg,,,,,,
290,B,1900,Typee,Herman Melville,1846,novel,gutenberg,,,,,,
291,B,1749,Cousin Bette,Honoré de Balzac,1846,novel,gutenberg,,,,,,
292,B,1715,Eugénie Grandet,Honoré de Balzac,1833,novel,gutenberg,,,,,,
293,B,1307,La Peau de chagrin,Honoré de Balzac,1831,novel,gutenberg,,,,,,
294,B,696,The Castle of Otranto,Horace Walpole,1764,novel,gutenberg,20422,33,yes,horror fiction;Gothic fiction,have,g696
295,B,501,The Story of Doctor Dolittle,Hugh Lofting,1920,novel,gutenberg,2875,,no,,have,g501
296,B,9911,First Love,Ivan Turgenev,1860,novella,gutenberg,32730,26,yes,short novel,new,g9911
297,B,1056,Martin Eden,Jack London,1909,novel,gutenberg,4067,49,yes,Künstlerroman,new,g1056
298,B,1164,The Iron Heel,Jack London,1908,novel,gutenberg,,,,,,
299,B,21970,The Scarlet Plague,Jack London,1912,novel,gutenberg,,,,,,
300,B,57669,The Problem of Cell 13,Jacques Futrelle,1905,short story,gutenberg,45768,3,yes,locked room mystery,new,g57669
301,B,3285,The Deerslayer,James Fenimore Cooper,1841,novel,gutenberg,,,,,,
302,B,2275,The Pioneers,James Fenimore Cooper,1823,novel,gutenberg,,,,,,
303,B,2276,The Private Memoirs and Confessions of a Justified Sinner,James Hogg,1824,novel,gutenberg,1270,,no,,have,g2276
304,B,36483,Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,1795,novel,gutenberg,,,,,,
305,B,560,Mr. Standfast,John Buchan,1919,novel,gutenberg,47388,4,yes,military fiction,have,g560
306,B,131,The Pilgrim's Progress,John Bunyan,1678,novel,gutenberg,6126,46,yes,allegory,new,g131
307,B,6087,The Vampyre,John William Polidori,1819,novella,gutenberg,5666,,no,,have,g6087
308,B,220,The Secret Sharer,Joseph Conrad,1910,novella,gutenberg,,,,,,
309,B,1142,Typhoon,Joseph Conrad,1902,novella,gutenberg,,,,,,
310,B,525,Youth,Joseph Conrad,1898,short story,gutenberg,,,,,,
311,B,16457,Around the Moon,Jules Verne,1870,novel,gutenberg,945,37,yes,science fiction,new,g16457
312,B,486,Ozma of Oz,L. Frank Baum,1907,novel,gutenberg,,,,,,
313,B,54,The Marvelous Land of Oz,L. Frank Baum,1904,novel,gutenberg,,,,,,
314,B,47,Anne of Avonlea,L. M. Montgomery,1909,novel,gutenberg,,,,,,
315,B,1210,Kwaidan,Lafcadio Hearn,1904,short story collection,gutenberg,,,,,,
316,B,804,A Sentimental Journey Through France and Italy,Laurence Sterne,1768,novel,gutenberg,1020,21,yes,imaginary voyage,new,g804
317,B,1079,Tristram Shandy,Laurence Sterne,1759,novel,gutenberg,20499,34,yes,picaresque novel;metafiction;satirical fiction,new,g1079
318,B,1938,Resurrection,Leo Tolstoy,1899,novel,gutenberg,,,,,,
319,B,689,The Kreutzer Sonata,Leo Tolstoy,1889,novella,gutenberg,,,,,,
320,B,601,The Monk,M. G. Lewis,1796,novel,gutenberg,54719,18,yes,fantasy;Gothic fiction,have,g601
321,B,8486,Ghost Stories of an Antiquary,M. R. James,1904,short story collection,gutenberg,,,,,,
322,B,467,La Princesse de Clèves,Madame de Lafayette,1678,novel,gutenberg,996,23,yes,historical fiction,new,g467
323,B,102,Pudd'nhead Wilson,Mark Twain,1894,novel,gutenberg,3060,11,yes,comic novel;mystery fiction,new,g102
324,B,8954,Lady Audley's Secret,Mary Elizabeth Braddon,1862,novel,gutenberg,47288,6,yes,sensation fiction,new,g8954
325,B,434,The Circular Staircase,Mary Roberts Rinehart,1908,novel,gutenberg,,,,,,
326,B,18247,The Last Man,Mary Shelley,1826,novel,gutenberg,2809,19,yes,science fiction;post-apocalyptic fiction;futuristic fiction,new,g18247
327,B,1845,Zuleika Dobson,Max Beerbohm,1911,novel,gutenberg,1009,6,yes,satire,new,g1845
328,B,913,A Hero of Our Time,Mikhail Lermontov,1840,novel,gutenberg,1515,36,yes,psychological fiction,new,g913
329,B,70128,Max Havelaar,Multatuli,1860,novel,gutenberg,1093,32,yes,political fiction;double novel,new,g70128
330,B,512,Mosses from an Old Manse,Nathaniel Hawthorne,1846,short story collection,gutenberg,,,,,,
331,B,2081,The Blithedale Romance,Nathaniel Hawthorne,1852,novel,gutenberg,,,,,,
332,B,13707,Twice-Told Tales,Nathaniel Hawthorne,1837,short story collection,gutenberg,,,,,,
333,B,2667,The Vicar of Wakefield,Oliver Goldsmith,1766,novel,gutenberg,,,,,,
334,B,873,A House of Pomegranates,Oscar Wilde,1891,short story collection,gutenberg,,,,,,
335,B,921,De Profundis,Oscar Wilde,1905,letter,gutenberg,,,,,,
336,B,301,The Ballad of Reading Gaol,Oscar Wilde,1898,poem,gutenberg,,,,,,
337,B,2465,Carmen,Prosper Mérimée,1845,novella,gutenberg,,,,,,
338,B,17460,Lorna Doone,R. D. Blackmore,1869,novel,gutenberg,36829,14,yes,romantic fiction,new,g17460
339,B,,The Well of Loneliness,Radclyffe Hall,1928,novel,us_pd,,,,,,
340,B,1965,Captain Blood,Rafael Sabatini,1922,novel,gutenberg,2188,17,yes,historical fiction;adventure fiction;pirate fiction,new,g1965
341,B,1947,Scaramouche,Rafael Sabatini,1921,novel,gutenberg,,,,,,
342,B,5164,The Beetle,Richard Marsh,1897,novel,gutenberg,1157,3,yes,fantasy;horror fiction,have,g5164
343,B,589,Catriona,Robert Louis Stevenson,1893,novel,gutenberg,48695,10,yes,historical fiction;adventure fiction,have,g589
344,B,3154,The Surprising Adventures of Baron Munchausen,Rudolf Erich Raspe,1785,novel,gutenberg,1172,,no,,have,g3154
345,B,6124,Pamela,Samuel Richardson,1740,novel,gutenberg,,,,,,
346,B,173,The Insidious Dr. Fu-Manchu,Sax Rohmer,1913,novel,gutenberg,,,,,,
347,B,10935,The Wonderful Adventures of Nils,Selma Lagerlöf,1906,novel,gutenberg,1054,45,yes,fantasy,new,g10935
348,B,416,"Winesburg, Ohio",Sherwood Anderson,1919,short story collection,gutenberg,2316,19,yes,short story cycle,new,g416
349,B,,Arrowsmith,Sinclair Lewis,1925,novel,us_pd,,,,,,
350,B,543,Main Street,Sinclair Lewis,1920,novel,gutenberg,,,,,,
351,B,,An American Tragedy,Theodore Dreiser,1925,novel,us_pd,,,,,,
352,B,2040,Confessions of an English Opium-Eater,Thomas De Quincey,1821,nonfiction,gutenberg,,,,,,
353,B,122,The Return of the Native,Thomas Hardy,1878,novel,gutenberg,2621,10,yes,,new,g122
354,B,2160,The Expedition of Humphry Clinker,Tobias Smollett,1771,novel,gutenberg,,,,,,
355,B,5670,Jacob's Room,Virginia Woolf,1922,novel,gutenberg,,,,,,
356,B,144,The Voyage Out,Virginia Woolf,1915,novel,gutenberg,,,,,,
357,B,222,The Moon and Sixpence,W. Somerset Maugham,1919,novel,gutenberg,,,,,,
358,B,64682,The Painted Veil,W. Somerset Maugham,1925,novel,gutenberg,1441,19,yes,,new,g64682
359,B,5998,Waverley,Walter Scott,1814,novel,gutenberg,,,,,,
360,B,24,O Pioneers!,Willa Cather,1913,novel,gutenberg,2234,9,yes,historical fiction,new,g24
361,B,42401,Vathek,William Beckford,1786,novel,gutenberg,1175,15,yes,fiction;fantasy;Gothic fiction;Oriental fantasy,new,g42401
362,B,10832,"Carnacki, the Ghost-Finder",William Hope Hodgson,1913,short story collection,gutenberg,1107,1,yes,detective fiction;weird fiction;supernatural fiction;occult detective fiction;horror fiction,new,g10832
363,B,10002,The House on the Borderland,William Hope Hodgson,1908,novel,gutenberg,48309,9,yes,fantasy;weird fiction;horror fiction,new,g10002
364,B,1540,Antony and Cleopatra,William Shakespeare,1606,play,gutenberg,,,,,,
365,B,1112,The Comedy of Errors,William Shakespeare,1594,play,gutenberg,,,,,,
366,B,2268,The Winter's Tale,William Shakespeare,1611,play,gutenberg,,,,,,
367,B,1170,Anabasis,Xenophon,1859,nonfiction,gutenberg,11047,48,yes,travel book;historiography,new,g1170
368,B,1300,Riders of the Purple Sage,Zane Grey,1912,novel,gutenberg,,,,,,
369,B,6626,Thérèse Raquin,Émile Zola,1867,novel,gutenberg,1434,29,yes,psychological fiction,new,g6626
