rank,gutenberg,title,author,downloads_30d,pick_score,locc,shelves,pg_issued,language,source,coffees,slug
29,834,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,51694,11,PR,"Detective Fiction; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature",1997-03-01,en,auto-scored,1,g834
30,155,The Moonstone,Wilkie Collins,50961,11,PR,"Detective Fiction; Mystery Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",2006-01-12,en,auto-scored,1,g155
31,223,The wisdom of Father Brown,G. K. Chesterton,50651,11,PR,"Detective Fiction; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature",1995-02-01,en,auto-scored,1,g223
32,1063,The Cask of Amontillado,Edgar Allan Poe,49903,11,PS,"Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: American Literature",2010-06-06,en,auto-scored,1,g1063
33,393,The Blue Lagoon: A Romance,H. De Vere Stacpoole,49758,11,PR,Category: Romance; Category: Adventure; Category: Novels; Category: British Literature,1996-01-01,en,auto-scored,1,g393
34,1155,The Secret Adversary,Agatha Christie,48788,11,PR,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels; Category: British Literature",1998-01-01,en,auto-scored,1,g1155
35,64317,The Great Gatsby,F. Scott Fitzgerald,48709,9,PS,Category: Novels; Category: Classics of Literature; Category: American Literature,2021-01-17,en,hand-picked,1,b05
36,589,Catriona,Robert Louis Stevenson,48695,11,PR,Adventure; Historical Fiction; Category: Historical Novels; Category: Romance; Category: Adventure; Category: Novels; Category: British Literature,1996-07-01,en,auto-scored,1,g589
37,3289,The Valley of Fear,Arthur Conan Doyle,47643,11,PR,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",2002-06-01,en,auto-scored,1,g3289
38,560,Mr. Standfast,John Buchan,47388,11,PR,"World War I; Adventure; Movie Books; Contemporary Reviews; Category: Historical Novels; Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels; Category: British Literature",1996-06-01,en,auto-scored,1,g560
39,1259,Twenty years after,Alexandre Dumas,47260,11,PQ,Adventure; Historical Fiction; Movie Books; Category: Historical Novels; Category: Adventure; Category: Novels; Category: French Literature,1998-03-01,en,auto-scored,1,g1259
40,558,The Thirty-Nine Steps,John Buchan,47133,11,PR,"Adventure; Mystery Fiction; Movie Books; Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels; Category: British Literature",1996-06-01,en,auto-scored,1,g558
41,2350,His last bow,Arthur Conan Doyle,47063,11,PR,"Detective Fiction; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature",2000-10-01,en,auto-scored,1,g2350
42,974,The Secret Agent: A Simple Tale,Joseph Conrad,46929,11,PR,"Mystery Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1997-07-01,en,auto-scored,1,g974
43,2360,The Riddle of the Sands,Erskine Childers,46829,11,PR,"Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels; Category: British Literature",2000-10-01,en,auto-scored,1,g2360
44,389,The Great God Pan,Arthur Machen,46720,11,PR,"Horror; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1996-01-01,en,auto-scored,1,g389
45,2038,The Lock and Key Library: Classic Mystery and Detective Stories: Modern English,Various,46309,11,PR,"Short Stories; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature; Nobel Prizes in Literature",2005-06-04,en,auto-scored,1,g2038
46,537,Tales of Terror and Mystery,Arthur Conan Doyle,46136,11,PR,"Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature",1996-05-01,en,auto-scored,1,g537
47,16389,The Enchanted April,Elizabeth Von Arnim,45914,15,PR,"Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature",2005-07-29,en,auto-scored,1,g16389
48,1685,The Mystery of the Yellow Room,Gaston Leroux,45788,11,PQ,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: French Literature",1999-03-01,en,auto-scored,1,g1685
49,7735,Paul Clifford — Complete,Baron Edward Bulwer Lytton Lytton,45597,11,PR,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",2004-11-26,en,auto-scored,1,g7735
50,15384,The Real Adventure,Henry Kitchell Webster,45503,15,PS,"Bestsellers, American, 1895-1923; Category: Romance; Category: Novels; Category: American Literature",2005-03-16,en,auto-scored,1,g15384
51,1872,The Red House Mystery,A. A. Milne,45473,11,PR,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1999-08-01,en,auto-scored,1,g1872
52,173,The Insidious Dr. Fu Manchu,Sax Rohmer,45339,11,PR,"Crime Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1994-10-01,en,auto-scored,1,g173
53,14818,The Daughter of Anderson Crow,George Barr McCutcheon,44990,17,PS,"Bestsellers, American, 1895-1923; Category: Crime, Thrillers and Mystery; Category: Humour; Category: Novels; Category: American Literature",2005-01-27,en,auto-scored,1,g14818
54,1686,The Secret of the Night,Gaston Leroux,44948,11,PQ,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels",1999-03-01,en,auto-scored,1,g1686
55,2806,"The Phantom 'Rickshaw, and Other Ghost Stories",Rudyard Kipling,44833,11,PR,"Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature; Nobel Prizes in Literature",2001-09-01,en,auto-scored,1,g2806
56,3321,Children of the Whirlwind,Leroy Scott,44677,11,PS,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: American Literature",2002-07-01,en,auto-scored,1,g3321
57,1931,The Zeppelin's Passenger,E. Phillips Oppenheim,44607,11,PR,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1999-10-01,en,auto-scored,1,g1931
58,2813,The Grand Babylon Hôtel,Arnold Bennett,44318,11,PR,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",2001-09-01,en,auto-scored,1,g2813
59,174,The Picture of Dorian Gray,Oscar Wilde,43384,11,PR,Gothic Fiction; Movie Books; Category: Novels; Category: Classics of Literature; Category: British Literature,1994-10-01,en,hand-picked,1,b11
60,768,Wuthering Heights,Emily Brontë,41958,11,PR,Best Books Ever Listings; Gothic Fiction; Movie Books; Category: Novels; Category: Classics of Literature; Category: British Literature,1996-12-01,en,hand-picked,1,b08
61,98,A Tale of Two Cities,Charles Dickens,40992,9,PR,Historical Fiction; Category: Historical Novels; Category: Classics of Literature; Category: British Literature,1994-01-01,en,hand-picked,1,b09
62,5200,The Metamorphosis,Franz Kafka,38512,9,PT,Horror; Category: Novels; Category: Classics of Literature; Category: German Literature,2005-08-17,en,hand-picked,1,b27
63,4499,Complete Short Works of George Meredith,George Meredith,36006,11,PR,Category: Short Stories; Category: Romance; Category: Adventure; Category: British Literature,2004-11-05,en,auto-scored,1,g4499
64,4712,The Landloper: The Romance of a Man on Foot,Holman Day,35060,11,PS,Category: Romance; Category: Adventure; Category: Novels; Category: American Literature,2006-04-13,en,auto-scored,1,g4712
65,161,Sense and Sensibility,Jane Austen,34708,9,PR,Category: Romance; Category: Novels; Category: Classics of Literature; Category: British Literature,1994-09-01,en,hand-picked,2,b49
66,74,The Adventures of Tom Sawyer,Mark Twain,33203,11,PS,Banned Books from Anne Haight's list; Banned Books List from the American Library Association; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: American Literature,2004-07-01,en,hand-picked,1,b13
67,55,The Wonderful Wizard of Oz,L. Frank Baum,33071,11,PZ,Children's Literature; Fantasy; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Adventure; Category: American Literature,1993-02-01,en,hand-picked,1,b21
68,113,The Secret Garden,Frances Hodgson Burnett,32404,9,PZ,Children's Literature; Category: Children & Young Adult Reading; Category: Novels; Category: Classics of Literature; Category: British Literature,1994-03-01,en,hand-picked,1,b23
69,103,Around the World in Eighty Days,Jules Verne,31322,11,PQ,Adventure; Best Books Ever Listings; Movie Books; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: French Literature,1994-01-01,en,hand-picked,1,b35
70,76,Adventures of Huckleberry Finn,Mark Twain,31276,11,PS,Best Books Ever Listings; Banned Books from Anne Haight's list; Banned Books List from the American Library Association; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: American Literature,2004-06-29,en,hand-picked,1,b12
71,3011,The Lady of the Lake,Walter Scott,30768,11,PR,Category: Historical Novels; Category: Poetry; Category: Romance; Category: Adventure; Category: British Literature,2002-01-01,en,auto-scored,1,g3011
