rank,gutenberg,title,author,downloads_30d,pick_score,locc,shelves,pg_issued,language,source,coffees,slug
125,6087,The Vampyre; a Tale,John William Polidori,5666,11,PR,Horror; Gothic Fiction; Category: Science-Fiction & Fantasy; Category: Novels; Category: British Literature,2004-07-01,en,auto-scored,1,g6087
126,541,The Age of Innocence,Edith Wharton,5356,15,PS,"Movie Books; Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature",1996-05-01,en,auto-scored,1,g541
127,60,The Scarlet Pimpernel,Baroness Emmuska Orczy Orczy,5053,11,PR,Adventure; Best Books Ever Listings; Movie Books; Category: Historical Novels; Category: Adventure; Category: British Literature,2006-03-08,en,auto-scored,1,g60
128,1728,The Odyssey of Homer,Homer,4767,11,PA,"Classical Antiquity; Harvard Classics; Category: Adventure; Category: Mythology, Legends & Folklore; Category: Classics of Literature; Category: History - Ancient",1999-04-01,en,auto-scored,1,g1728
129,503,The Blue Fairy Book,Andrew Lang,4731,11,PZ,"Children's Literature; Category: Children & Young Adult Reading; Category: Adventure; Category: Mythology, Legends & Folklore",2005-10-21,en,auto-scored,1,g503
130,2853,Quo Vadis: A Narrative of the Time of Nero,Henryk Sienkiewicz,4567,15,PG,"Historical Fiction; Movie Books; Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Novels; Nobel Prizes in Literature",2001-10-01,en,auto-scored,1,g2853
131,512,Mosses from an old manse,Nathaniel Hawthorne,4530,11,PS,"Gothic Fiction; Category: Essays, Letters & Speeches; Category: American Literature",1996-04-01,en,auto-scored,1,g512
132,33,The Scarlet Letter,Nathaniel Hawthorne,4480,9,PS,Harvard Classics; Movie Books; Category: Novels; Category: Classics of Literature; Category: American Literature,1992-06-01,en,hand-picked,1,b25
133,284,The House of Mirth,Edith Wharton,4060,15,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature",1995-06-01,en,auto-scored,1,g284
134,1450,Pollyanna,Eleanor H. Porter,3895,15,PZ; PS,"Bestsellers, American, 1895-1923; Category: Children & Young Adult Reading; Category: Novels; Category: American Literature",1998-09-01,en,auto-scored,1,g1450
135,15,"Moby-Dick; or, The Whale",Herman Melville,3872,11,PS,Adventure; Best Books Ever Listings; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: American Literature,1991-05-01,en,auto-scored,1,g15
136,5658,Lord Jim,Joseph Conrad,3607,11,PR,Best Books Ever Listings; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: British Literature,2006-01-09,en,auto-scored,1,g5658
137,78,Tarzan of the Apes,Edgar Rice Burroughs,3571,11,PS,Adventure; Movie Books; Category: Adventure; Category: Novels; Category: American Literature,1993-08-01,en,auto-scored,1,g78
138,3350,The Wandering Jew — Complete,Eugène Sue,3485,11,PQ,"Category: Adventure; Category: Novels; Category: Mythology, Legends & Folklore; Category: French Literature",2004-10-25,en,auto-scored,1,g3350
139,2166,King Solomon's Mines,H. Rider Haggard,3424,11,PR,Adventure; Best Books Ever Listings; Movie Books; Category: Adventure; Category: Novels; Category: British Literature,2000-05-01,en,auto-scored,1,g2166
140,708,The Princess and the Goblin,George MacDonald,3108,11,PZ,Children's Literature; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Adventure,1996-11-01,en,auto-scored,1,g708
141,5160,The Mabinogion,Anonymous,2983,11,PB,"Fantasy; Category: Historical Novels; Category: Adventure; Category: Mythology, Legends & Folklore; Category: Classics of Literature",2004-02-01,en,auto-scored,1,g5160
142,501,The Story of Doctor Dolittle,Hugh Lofting,2875,11,PZ,Children's Literature; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels,1996-04-01,en,auto-scored,1,g501
143,2759,The Man in the Iron Mask,Alexandre Dumas,2761,11,PQ,Adventure; Movie Books; Category: Historical Novels; Category: Novels; Category: French Literature,2001-08-01,en,auto-scored,1,g2759
144,1156,Babbitt,Sinclair Lewis,2599,15,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature; Nobel Prizes in Literature",2002-02-11,en,auto-scored,1,g1156
145,1074,The Sea-Wolf,Jack London,2597,11,PS,Category: Adventure; Category: Novels; Category: American Literature,1997-10-01,en,auto-scored,1,g1074
146,543,Main Street,Sinclair Lewis,2277,15,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature; Nobel Prizes in Literature",2006-01-21,en,auto-scored,1,g543
147,95,The prisoner of Zenda,Anthony Hope,2255,17,PR,"Adventure; Best Books Ever Listings; Movie Books; Bestsellers, American, 1895-1923; Category: Adventure; Category: Novels; Category: British Literature",2006-01-09,en,auto-scored,1,g95
148,1937,The Second Jungle Book,Rudyard Kipling,2255,11,PR,Scouts; Children's Literature; Category: Short Stories; Category: Children & Young Adult Reading; Category: Adventure; Category: British Literature; Nobel Prizes in Literature,1999-10-01,en,auto-scored,1,g1937
149,21959,Letters from a Self-Made Merchant to His Son,George Horace Lorimer,2228,15,PS,"Bestsellers, American, 1895-1923; Category: Essays, Letters & Speeches; Category: American Literature",2007-06-28,en,auto-scored,1,g21959
150,1900,Typee: A Romance of the South Seas,Herman Melville,2227,11,PS,Category: Adventure; Category: Novels; Category: American Literature,1999-09-01,en,auto-scored,1,g1900
151,2988,Mark Twain: A Biography. Complete,Albert Bigelow Paine,2152,15,PS,"Bestsellers, American, 1895-1923; Category: Biographies; Category: American Literature",2004-10-04,en,auto-scored,1,g2988
152,1298,The Virginian: A Horseman of the Plains,Owen Wister,2142,17,PS,"Western; Bestsellers, American, 1895-1923; Category: Adventure; Category: Novels; Category: American Literature",1998-05-01,en,auto-scored,1,g1298
153,1300,Riders of the Purple Sage,Zane Grey,2019,11,PS,Western; Category: Adventure; Category: Novels; Category: American Literature,1998-05-01,en,auto-scored,1,g1300
154,903,The White Company,Arthur Conan Doyle,2013,11,PR,Historical Fiction; Category: Historical Novels; Category: Adventure; Category: British Literature,1997-05-01,en,auto-scored,1,g903
155,22066,The Long Roll,Mary Johnston,2010,15,PS,"US Civil War; Bestsellers, American, 1895-1923; Category: Historical Novels; Category: American Literature",2007-07-13,en,auto-scored,1,g22066
156,1951,The Coming Race,Baron Edward Bulwer Lytton Lytton,1878,11,PR,Precursors of Science Fiction; Best Books Ever Listings; Category: Science-Fiction & Fantasy; Category: Adventure; Category: British Literature,2006-02-19,en,auto-scored,1,g1951
157,2609,The Vicomte de Bragelonne,Alexandre Dumas,1856,11,PQ,Adventure; Historical Fiction; Movie Books; Category: Historical Novels; Category: Adventure; Category: Novels; Category: French Literature,2001-04-01,en,auto-scored,1,g2609
158,615,Orlando Furioso,Lodovico Ariosto,1827,11,PQ,"Category: Poetry; Category: Adventure; Category: Mythology, Legends & Folklore; Category: Classics of Literature",1996-08-01,en,auto-scored,1,g615
159,169,The Well at the World's End: A Tale,William Morris,1773,11,PR,Fantasy; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: British Literature,1994-10-01,en,auto-scored,1,g169
160,7100,"Adventures of Huckleberry Finn, Chapters 01 to 05",Mark Twain,1763,11,PZ; PS,Category: Adventure; Category: Novels; Category: Classics of Literature; Category: American Literature,2004-06-27,en,auto-scored,1,g7100
161,964,The Merry Adventures of Robin Hood,Howard Pyle,1722,11,PZ; PS,"Fantasy; Category: Adventure; Category: Novels; Category: Mythology, Legends & Folklore; Category: British Literature",2006-02-05,en,auto-scored,1,g964
162,7025,Rob Roy — Complete,Walter Scott,1696,11,PR,Historical Fiction; Category: Historical Novels; Category: Adventure; Category: British Literature,2004-08-23,en,auto-scored,1,g7025
163,559,Greenmantle,John Buchan,1626,11,PR,"World War I; Adventure; Mystery Fiction; Movie Books; Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels; Category: British Literature",1996-06-01,en,auto-scored,1,g559
164,106,Jungle Tales of Tarzan,Edgar Rice Burroughs,1607,11,PZ; PS,Adventure; Movie Books; Category: Short Stories; Category: Science-Fiction & Fantasy; Category: Adventure; Category: British Literature,1994-02-01,en,auto-scored,1,g106
165,792,"Wieland; Or, The Transformation: An American Tale",Charles Brockden Brown,1607,11,PS,Best Books Ever Listings; Gothic Fiction; Category: Novels; Category: American Literature,1997-01-01,en,auto-scored,1,g792
166,5342,The Story Girl,L. M. Montgomery,1599,11,PZ,"Canada; Children's Literature; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: Mythology, Legends & Folklore",2004-03-01,en,auto-scored,1,g5342
167,498,Rebecca of Sunnybrook Farm,Kate Douglas Smith Wiggin,1577,15,PZ; PS,"Children's Literature; Bestsellers, American, 1895-1923; Category: Children & Young Adult Reading; Category: Novels; Category: American Literature",1996-04-01,en,auto-scored,1,g498
168,1712,The Rescue: A Romance of the Shallows,Joseph Conrad,1577,11,PR,Category: Adventure; Category: Novels; Category: British Literature,2006-01-09,en,auto-scored,1,g1712
169,123,At the Earth's Core,Edgar Rice Burroughs,1572,11,PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure,1994-04-01,en,auto-scored,1,g123
170,91,Tom Sawyer Abroad,Mark Twain,1552,11,PS,Category: Humour; Category: Adventure; Category: Novels; Category: American Literature,2004-09-14,en,auto-scored,1,g91
171,1720,The Man Who Knew Too Much,G. K. Chesterton,1495,11,PR,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1999-04-01,en,auto-scored,1,g1720
172,710,"Love of Life, and Other Stories",Jack London,1486,11,PS,Category: Short Stories; Category: Adventure; Category: American Literature,1996-11-01,en,auto-scored,1,g710
173,646,The Coral Island: A Tale of the Pacific Ocean,R. M. Ballantyne,1468,11,PZ,Children's Fiction; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: British Literature,1996-09-01,en,auto-scored,1,g646
174,525,"Youth, a Narrative",Joseph Conrad,1463,11,PR,Category: Adventure; Category: Novels; Category: British Literature,2006-01-09,en,auto-scored,1,g525
175,770,The Story of the Treasure Seekers,E. Nesbit,1454,11,PR; PZ,Children's Literature; Children's Fiction; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: British Literature,1997-01-01,en,auto-scored,1,g770
176,2710,Louise de la Vallière,Alexandre Dumas,1445,11,PQ,Adventure; Movie Books; Category: Historical Novels; Category: Adventure; Category: Novels; Category: French Literature,2001-07-01,en,auto-scored,1,g2710
177,3285,The Deerslayer,James Fenimore Cooper,1428,11,PS,Native America; Category: Historical Novels; Category: Adventure; Category: American Literature,2002-06-01,en,auto-scored,1,g3285
178,1258,Ten Years Later,Alexandre Dumas,1407,11,PQ,Category: Historical Novels; Category: Adventure; Category: Novels; Category: French Literature,1998-03-01,en,auto-scored,1,g1258
179,832,Robin Hood,J. Walker McSpadden,1367,11,PZ,"Fantasy; Category: Historical Novels; Category: Adventure; Category: Mythology, Legends & Folklore; Category: British Literature",2006-01-21,en,auto-scored,1,g832
180,85,The Beasts of Tarzan,Edgar Rice Burroughs,1327,11,PZ; PS,Adventure; Movie Books; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels,1993-10-01,en,auto-scored,1,g85
181,837,The Story of the Amulet,E. Nesbit,1303,11,PR; PZ,Children's Literature; Children's Fiction; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Adventure; Category: British Literature,1997-03-01,en,auto-scored,1,g837
182,2276,The Private Memoirs and Confessions of a Justified Sinner,James Hogg,1270,11,PR,Best Books Ever Listings; Gothic Fiction; Category: Novels; Category: British Literature,2000-08-01,en,auto-scored,1,g2276
183,39858,Trilby,George Du Maurier,1263,15,PR,"Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature",2012-05-29,en,auto-scored,1,g39858
184,402,Penrod,Booth Tarkington,1252,15,PS,"Best Books Ever Listings; Bestsellers, American, 1895-1923; Category: Children & Young Adult Reading; Category: Humour; Category: Novels; Category: American Literature",2006-03-15,en,auto-scored,1,g402
185,1377,The Talisman,Walter Scott,1241,11,PR,Historical Fiction; Category: Historical Novels; Category: Adventure; Category: British Literature,1998-07-01,en,auto-scored,1,g1377
186,7193,"The Adventures of Tom Sawyer, Part 1.",Mark Twain,1233,11,PS,Category: Adventure; Category: Novels; Category: American Literature,2004-06-29,en,auto-scored,1,g7193
187,1947,Scaramouche: A Romance of the French Revolution,Rafael Sabatini,1227,11,PR,Adventure; Best Books Ever Listings; Movie Books; Category: Historical Novels; Category: Novels; Category: French Literature,1999-11-01,en,auto-scored,1,g1947
188,1024,The Wrecker,Robert Louis Stevenson,1225,11,PR,Category: Adventure; Category: Novels; Category: British Literature,2006-02-11,en,auto-scored,1,g1024
189,1027,The Lone Star Ranger: A Romance of the Border,Zane Grey,1221,17,PS,"Western; Bestsellers, American, 1895-1923; Category: Adventure; Category: Novels; Category: American Literature",1997-08-01,en,auto-scored,1,g1027
190,25702,The Kingdom Round the Corner: A Novel,Coningsby Dawson,1213,15,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature",2008-06-05,en,auto-scored,1,g25702
191,711,Allan Quatermain,H. Rider Haggard,1205,11,PR,Adventure; Movie Books; Category: Adventure; Category: Novels; Category: British Literature,2004-11-18,en,auto-scored,1,g711
192,294,"The Captain of the Polestar, and Other Tales",Arthur Conan Doyle,1185,11,PR,Category: Short Stories; Category: Adventure; Category: British Literature,1995-07-01,en,auto-scored,1,g294
193,1142,Typhoon,Joseph Conrad,1173,11,PR,Category: Adventure; Category: Novels; Category: British Literature,2006-01-09,en,auto-scored,1,g1142
194,3154,The Surprising Adventures of Baron Munchausen,Rudolf Erich Raspe,1172,11,PN,Category: Humour; Category: Adventure; Category: Novels; Category: Classics of Literature,2006-04-06,en,auto-scored,1,g3154
195,5164,The Beetle: A Mystery,Richard Marsh,1157,11,PR,"Mystery Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",2004-02-01,en,auto-scored,1,g5164
196,1154,The Voyages of Doctor Dolittle,Hugh Lofting,1153,11,PZ,Children's Literature; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels,1998-01-01,en,auto-scored,1,g1154
197,1895,Armadale,Wilkie Collins,1138,11,PR,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1999-09-01,en,auto-scored,1,g1895
198,93,"Tom Sawyer, Detective",Mark Twain,1132,11,PS,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: American Literature",2004-09-14,en,auto-scored,1,g93
199,2845,Sir Nigel,Arthur Conan Doyle,1132,11,PR,Category: Historical Novels; Category: Adventure; Category: British Literature,2001-10-01,en,auto-scored,1,g2845
200,1622,The Law and the Lady,Wilkie Collins,1110,11,PR,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1999-02-01,en,auto-scored,1,g1622
201,765,The Moon Pool,Abraham Merritt,1082,11,PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels,1996-12-01,en,auto-scored,1,g765
202,506,The Shuttle,Frances Hodgson Burnett,1079,15,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: British Literature; Category: American Literature",2006-03-18,en,auto-scored,1,g506
203,1557,Men of Iron,Howard Pyle,1071,11,PZ,Fantasy; Category: Historical Novels; Category: Adventure; Category: British Literature,2006-02-15,en,auto-scored,1,g1557
204,238,Dear Enemy,Jean Webster,1070,15,PZ; PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature",2008-07-03,en,auto-scored,1,g238
205,170,The Haunted Hotel: A Mystery of Modern Venice,Wilkie Collins,1069,11,PR,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1994-10-01,en,auto-scored,1,g170
206,520,The Life and Adventures of Santa Claus,L. Frank Baum,1067,11,PZ,"Children's Literature; Christmas; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: Mythology, Legends & Folklore; Category: American Literature",1996-05-01,en,auto-scored,1,g520
207,1188,The Lair of the White Worm,Bram Stoker,1060,11,PR,"Horror; Gothic Fiction; Category: Science-Fiction & Fantasy; Category: Novels; Category: Mythology, Legends & Folklore; Category: British Literature",1998-02-01,en,auto-scored,1,g1188
208,96,The Monster Men,Edgar Rice Burroughs,1058,11,PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature,1994-01-01,en,auto-scored,1,g96
209,2346,The Adventure of the Bruce-Partington Plans,Arthur Conan Doyle,1057,11,PR,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: British Literature",2000-10-01,en,auto-scored,1,g2346
210,4047,The Leavenworth Case,Anna Katharine Green,1053,11,PS,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: American Literature",2003-05-01,en,auto-scored,1,g4047
211,4014,Arsène Lupin,Maurice Leblanc,1014,11,PQ,"Crime Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: French Literature",2003-05-01,en,auto-scored,1,g4014
212,561,The Further Adventures of Robinson Crusoe,Daniel Defoe,1012,11,PR,Best Books Ever Listings; Category: Adventure; Category: Novels; Category: Classics of Literature; Category: British Literature,1996-06-01,en,auto-scored,1,g561
213,1880,"The Pathfinder; Or, The Inland Sea",James Fenimore Cooper,999,11,PS,Harvard Classics; Category: Adventure; Category: Novels; Category: American Literature,1999-09-01,en,auto-scored,1,g1880
214,434,The Circular Staircase,Mary Roberts Rinehart,997,11,PS,"Detective Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: American Literature",1996-02-01,en,auto-scored,1,g434
215,3457,The Man of the Forest,Zane Grey,995,17,PS,"Western; Bestsellers, American, 1895-1923; Category: Adventure; Category: Novels; Category: American Literature",2002-10-01,en,auto-scored,1,g3457
216,2347,The Adventure of the Dying Detective,Arthur Conan Doyle,995,11,PR,"Detective Fiction; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature",2000-10-01,en,auto-scored,1,g2347
217,378,The White Knight: Tirant Lo Blanc,Joanot Martorell,992,11,PC,Category: Historical Novels; Category: Adventure; Category: Classics of Literature,1995-12-01,en,auto-scored,1,g378
218,419,The Magic of Oz,L. Frank Baum,991,11,PZ,Children's Literature; Fantasy; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Adventure,1996-02-01,en,auto-scored,1,g419
219,6066,King--of the Khyber Rifles: A Romance of Adventure,Talbot Mundy,980,11,PR,Adventure; Category: Historical Novels; Category: Adventure; Category: Novels; Category: British Literature,2004-07-01,en,auto-scored,1,g6066
220,1848,Montezuma's Daughter,H. Rider Haggard,976,11,PR,Historical Fiction; Category: Historical Novels; Category: Adventure; Category: British Literature,2006-05-14,en,auto-scored,1,g1848
221,420,Dorothy and the Wizard in Oz,L. Frank Baum,975,11,PZ,Children's Literature; Fantasy; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Adventure; Category: American Literature,1996-02-01,en,auto-scored,1,g420
222,605,Pellucidar,Edgar Rice Burroughs,971,11,PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure,1996-07-01,en,auto-scored,1,g605
223,2186,"""Captains Courageous"": A Story of the Grand Banks",Rudyard Kipling,970,11,PR,Category: Adventure; Category: Novels; Category: British Literature; Nobel Prizes in Literature,2000-05-01,en,auto-scored,1,g2186
224,4045,Omoo: Adventures in the South Seas,Herman Melville,968,11,PS,Category: Adventure; Category: Novels; Category: American Literature,2003-05-01,en,auto-scored,1,g4045
225,22537,Mr. Dooley in Peace and in War,Finley Peter Dunne,966,15,PN,"Humor; Bestsellers, American, 1895-1923; Category: Humour; Category: Essays, Letters & Speeches; Category: American Literature",2007-09-07,en,auto-scored,1,g22537
226,486,Ozma of Oz,L. Frank Baum,966,11,PZ,Children's Literature; Fantasy; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Adventure; Category: American Literature,1996-04-01,en,auto-scored,1,g486
227,2020,Tarzan the Terrible,Edgar Rice Burroughs,961,11,PZ; PS,Adventure; Movie Books; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature,2000-01-01,en,auto-scored,1,g2020
228,7079,The Companions of Jehu,Alexandre Dumas,957,11,PQ,Historical Fiction; Category: Historical Novels; Category: Adventure; Category: Novels; Category: French Literature,2004-12-01,en,auto-scored,1,g7079
229,2761,"Benita, an African romance",H. Rider Haggard,949,11,PR,Africa; Category: Romance; Category: Adventure; Category: Novels; Category: British Literature,2006-03-28,en,auto-scored,1,g2761
230,133,The Damnation of Theron Ware,Harold Frederic,941,15,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature",2006-03-08,en,auto-scored,1,g133
231,2785,The Elusive Pimpernel,Baroness Emmuska Orczy Orczy,937,11,PR,Adventure; Movie Books; Category: Historical Novels; Category: Adventure; Category: British Literature,2001-08-01,en,auto-scored,1,g2785
232,369,The outlaw of Torn,Edgar Rice Burroughs,929,11,PS,Science Fiction; Category: Historical Novels; Category: Adventure; Category: British Literature,2008-07-11,en,auto-scored,1,g369
233,310,Before Adam,Jack London,926,11,PS,Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature,2008-06-29,en,auto-scored,1,g310
234,384,The Lost Prince,Frances Hodgson Burnett,924,11,PZ; PS,Children's Literature; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: British Literature,1996-01-01,en,auto-scored,1,g384
235,2569,The Day's Work,Rudyard Kipling,921,15,PR,"Bestsellers, American, 1895-1923; Category: Short Stories; Category: British Literature; Nobel Prizes in Literature",2001-03-01,en,auto-scored,1,g2569
236,6450,The Prairie,James Fenimore Cooper,921,11,PS,Category: Historical Novels; Category: Adventure; Category: Novels; Category: American Literature,2004-09-01,en,auto-scored,1,g6450
237,2349,The Adventure of the Devil's Foot,Arthur Conan Doyle,918,11,PR,"Detective Fiction; Category: Short Stories; Category: Crime, Thrillers and Mystery; Category: British Literature",2000-10-01,en,auto-scored,1,g2349
238,960,The Tin Woodman of Oz,L. Frank Baum,913,11,PZ,Children's Literature; Fantasy; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels,1997-06-01,en,auto-scored,1,g960
239,440,Just David,Eleanor H. Porter,912,15,PZ; PS,"Bestsellers, American, 1895-1923; Category: Children & Young Adult Reading; Category: Novels; Category: American Literature",1996-02-01,en,auto-scored,1,g440
240,959,The Lost Princess of Oz,L. Frank Baum,907,11,PZ,Fantasy; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature,1997-06-01,en,auto-scored,1,g959
241,2512,The cruise of the Snark,Jack London,902,11,PS,Category: Biographies; Category: Adventure; Category: Travel Writing; Category: American Literature,2001-02-01,en,auto-scored,1,g2512
242,331,The Mucker,Edgar Rice Burroughs,901,11,PS,"Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels; Category: American Literature",1995-09-01,en,auto-scored,1,g331
243,388,The Crossing,Winston Churchill,897,17,PS,"Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Adventure; Category: American Literature",2004-10-19,en,auto-scored,1,g388
244,788,The Red One,Jack London,896,11,PS,Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature,1997-01-01,en,auto-scored,1,g788
245,1752,El Dorado: An Adventure of the Scarlet Pimpernel,Baroness Emmuska Orczy Orczy,896,11,PR,Adventure; Movie Books; Category: Historical Novels; Category: Adventure; Category: British Literature,1999-05-01,en,auto-scored,1,g1752
246,353,"In Flanders Fields, and Other Poems",John McCrae,881,11,PR,"World War I; Bestsellers, American, 1895-1923; Category: Poetry",2008-07-05,en,auto-scored,1,g353
247,3007,"The Smoky God; Or, A Voyage to the Inner World",Willis George Emerson,879,11,PS,Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels,2002-01-01,en,auto-scored,1,g3007
248,1484,The Four Horsemen of the Apocalypse,Vicente Blasco Ibáñez,874,11,PQ,"World War I; Bestsellers, American, 1895-1923; 6 Best Loved Spanish Literary Classics; Category: Historical Novels; Category: Novels",2006-05-03,en,auto-scored,1,g1484
249,349,The Harvester,Gene Stratton-Porter,873,15,PS,"Bestsellers, American, 1895-1923; Category: Novels; Category: American Literature",1995-10-01,en,auto-scored,1,g349
250,1563,The Crystal Stopper,Maurice Leblanc,873,11,PQ,"Crime Fiction; Category: Crime, Thrillers and Mystery; Category: Novels",1998-12-01,en,auto-scored,1,g1563
251,1825,The Adventures of Reddy Fox,Thornton W. Burgess,873,11,PZ,Children's Literature; Children's Book Series; Category: Children & Young Adult Reading; Category: Adventure,1999-07-01,en,auto-scored,1,g1825
252,4017,The Hollow Needle; Further adventures of Arsène Lupin,Maurice Leblanc,871,11,PQ,"Crime Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: French Literature",2003-05-01,en,auto-scored,1,g4017
253,1644,The Adventures of Gerard,Arthur Conan Doyle,865,11,PR,Historical Fiction; Category: Short Stories; Category: Humour; Category: Adventure; Category: French Literature,1999-02-01,en,auto-scored,1,g1644
254,7815,"Hereward, the Last of the English",Charles Kingsley,864,11,PR,Historical Fiction; Category: Historical Novels; Category: Adventure; Category: Novels; Category: British Literature,2005-04-01,en,auto-scored,1,g7815
255,2070,To the Last Man,Zane Grey,860,15,PS,"Western; Bestsellers, American, 1895-1923; Category: Historical Novels; Category: Novels; Category: American Literature",2000-02-01,en,auto-scored,1,g2070
256,1607,A Journey in Other Worlds: A Romance of the Future,John Jacob Astor,860,11,PS,Science Fiction; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature,1999-01-01,en,auto-scored,1,g1607
257,355,The Parasite: A Story,Arthur Conan Doyle,857,11,PR,"Category: Science-Fiction & Fantasy; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1995-11-01,en,auto-scored,1,g355
258,1145,Rupert of Hentzau: From The Memoirs of Fritz Von Tarlenheim,Anthony Hope,855,11,PR,Adventure; Movie Books; Category: Historical Novels; Category: Adventure; Category: Novels; Category: British Literature,1997-12-01,en,auto-scored,1,g1145
259,286,Laddie: A True Blue Story,Gene Stratton-Porter,853,17,PS,"Bestsellers, American, 1895-1923; Category: Children & Young Adult Reading; Category: Adventure; Category: Novels; Category: American Literature",1995-06-01,en,auto-scored,1,g286
260,6370,The Story of the Odyssey,Alfred John Church,851,11,PA; PZ,"Category: Adventure; Category: Mythology, Legends & Folklore; Category: Classics of Literature",2004-08-01,en,auto-scored,1,g6370
261,1182,Dope,Sax Rohmer,846,11,PR,"Crime Fiction; Category: Crime, Thrillers and Mystery; Category: Novels; Category: British Literature",1998-01-01,en,auto-scored,1,g1182
262,485,The Road to Oz,L. Frank Baum,844,11,PZ,Children's Literature; Fantasy; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Adventure,1996-04-01,en,auto-scored,1,g485
263,1264,The Wheels of Chance: A Bicycling Idyll,H. G. Wells,843,11,PR,Category: Humour; Category: Adventure; Category: Novels; Category: British Literature,1998-04-01,en,auto-scored,1,g1264
264,1611,Seventeen,Booth Tarkington,833,15,PS,"Bestsellers, American, 1895-1923; Category: Humour; Category: Novels; Category: American Literature",2006-02-22,en,auto-scored,1,g1611
265,848,The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,826,11,PR,Children's Literature; Adventure; Historical Fiction; Movie Books; Category: Historical Novels; Category: Adventure; Category: British Literature,1997-03-01,en,auto-scored,1,g848
266,5228,"Ayesha, the Return of She",H. Rider Haggard,824,11,PR,Adventure; Movie Books; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: British Literature,2006-04-22,en,auto-scored,1,g5228
267,961,Glinda of Oz,L. Frank Baum,821,11,PZ,Children's Literature; Fantasy; Category: Children & Young Adult Reading; Category: Science-Fiction & Fantasy; Category: Adventure; Category: Novels; Category: American Literature,1997-07-01,en,auto-scored,1,g961
