rank,status,gutenberg,title,author,year,downloads_30d,sitelinks,form,genre,wikipedia,slug
244,new,550,Silas Marner,George Eliot,1861,3410,22,novel,novel of manners,yes,g550
245,new,969,The Tenant of Wildfell Hall,Q44520,1848,3377,47,novel,epistolary fiction,yes,g969
246,new,2885,The House of the Wolfings,William Morris,1889,3344,2,novel,fantasy,yes,g2885
247,new,44747,The Red and the Black,Stendhal,1830,3271,51,novel,Bildungsroman;historical fiction;psychological fiction,yes,g44747
248,new,153,Jude the Obscure,Thomas Hardy,1895,3225,19,novel,,yes,g153
249,new,222,The Moon and Sixpence,William Somerset Maugham,1919,3211,22,novel,biographical novel,yes,g222
250,new,2197,The Gambler (novel),Fyodor Dostoyevsky,1867,3194,49,novel,,yes,g2197
251,new,61221,A Passage to India,E. M. Forster,1924,3136,26,novel,,yes,g61221
252,new,32,Herland (novel),Charlotte Perkins Gilman,1915,3135,12,novel,science fiction;serialized fiction;feminist science fiction;utopian fiction,yes,g32
253,new,821,Dombey and Son,Charles Dickens,1848,3118,19,novel,social criticism,yes,g821
254,have,708,The Princess and the Goblin,George MacDonald,1872,3108,18,novel,fantasy;children's fiction,yes,g708
255,new,11438,The Willows (story),Algernon Blackwood,1907,3085,6,novella,weird fiction;horror fiction,yes,g11438
256,new,208,Daisy Miller,Henry James,1879,3066,20,novella,,yes,g208
257,new,102,Pudd'nhead Wilson,Mark Twain,1894,3060,11,novel,comic novel;mystery fiction,yes,g102
258,new,29021,The Ridiculous Wishes,Charles Perrault,1693,3027,10,,tale,yes,g29021
259,new,1210,Kwaidan: Stories and Studies of Strange Things,Lafcadio Hearn,1904,3007,11,short story collection,,yes,g1210
260,have,5160,The Mabinogion,Anonymous,,2983,,,,no,g5160
261,new,25929,Daemonologie,James VI and I,1597,2969,13,,Socratic dialogue,yes,g25929
262,new,60333,Selections from the Writings of Kierkegaard,Lee M. Hollander,1923,2949,1,,,yes,g60333
263,new,9830,The Beautiful and Damned,F. Scott Fitzgerald,1922,2934,17,novel,,yes,g9830
264,new,52521,Mary's Child,Brothers Grimm,1812,2889,26,,fairy tale,yes,g52521
265,have,501,The Story of Doctor Dolittle,Hugh Lofting,,2875,,,,no,g501
266,new,2434,New Atlantis,Francis Bacon,1627,2866,33,novel,science fiction;fantasy;utopian fiction;philosophical fiction,yes,g2434
267,new,54,The Marvelous Land of Oz,L. Frank Baum,1904,2865,24,novel,fantasy;children's fiction,yes,g54
268,new,18247,The Last Man,Mary Shelley,1826,2809,19,novel,science fiction;post-apocalyptic fiction;futuristic fiction,yes,g18247
269,new,217,Sons and Lovers,D. H. Lawrence,1913,2769,29,novel,autobiographical novel,yes,g217
270,have,2759,The Man in the Iron Mask,Alexandre Dumas,,2761,,,,no,g2759
271,new,143,The Mayor of Casterbridge,Thomas Hardy,1886,2713,20,novel,,yes,g143
